Item Name,Item #,Product Category,Brand,UOM,Wholesale Price
Runtz #108,BULK-00108,Vapes,Sungrown Farms,g,56.00
Zkittlez #109,BULK-00109,Concentrates,Kush Co,each,63.00
Blue Dream #110,BULK-00110,Flower,Cloud9 Labs,g,15.00
OG Kush #111,BULK-00111,Pre-Rolls,Nebula Extracts,each,22.00
Sour Diesel #112,BULK-00112,Edibles,Sungrown Farms,g,29.00
Gelato #113,BULK-00113,Vapes,Kush Co,each,36.00
Wedding Cake #114,BULK-00114,Concentrates,Cloud9 Labs,g,43.00
GDP #115,BULK-00115,Flower,Nebula Extracts,each,50.00
Pineapple Express #116,BULK-00116,Pre-Rolls,Sungrown Farms,g,57.00
Northern Lights #117,BULK-00117,Edibles,Kush Co,each,64.00
Runtz #118,BULK-00118,Vapes,Cloud9 Labs,g,16.00
Zkittlez #119,BULK-00119,Concentrates,Nebula Extracts,each,23.00
Blue Dream #120,BULK-00120,Flower,Sungrown Farms,g,30.00
OG Kush #121,BULK-00121,Pre-Rolls,Kush Co,each,37.00
Sour Diesel #122,BULK-00122,Edibles,Cloud9 Labs,g,44.00
Gelato #123,BULK-00123,Vapes,Nebula Extracts,each,51.00
Wedding Cake #124,BULK-00124,Concentrates,Sungrown Farms,g,58.00
GDP #125,BULK-00125,Flower,Kush Co,each,65.00
Pineapple Express #126,BULK-00126,Pre-Rolls,Cloud9 Labs,g,17.00
Northern Lights #127,BULK-00127,Edibles,Nebula Extracts,each,24.00
Runtz #128,BULK-00128,Vapes,Sungrown Farms,g,31.00
Zkittlez #129,BULK-00129,Concentrates,Kush Co,each,38.00
Blue Dream #130,BULK-00130,Flower,Cloud9 Labs,g,45.00
OG Kush #131,BULK-00131,Pre-Rolls,Nebula Extracts,each,52.00
Sour Diesel #132,BULK-00132,Edibles,Sungrown Farms,g,59.00
Gelato #133,BULK-00133,Vapes,Kush Co,each,66.00
Wedding Cake #134,BULK-00134,Concentrates,Cloud9 Labs,g,18.00
GDP #135,BULK-00135,Flower,Nebula Extracts,each,25.00
Pineapple Express #136,BULK-00136,Pre-Rolls,Sungrown Farms,g,32.00
Northern Lights #137,BULK-00137,Edibles,Kush Co,each,39.00
Runtz #138,BULK-00138,Vapes,Cloud9 Labs,g,46.00
Zkittlez #139,BULK-00139,Concentrates,Nebula Extracts,each,53.00
Blue Dream #140,BULK-00140,Flower,Sungrown Farms,g,60.00
OG Kush #141,BULK-00141,Pre-Rolls,Kush Co,each,67.00
Sour Diesel #142,BULK-00142,Edibles,Cloud9 Labs,g,19.00
Gelato #143,BULK-00143,Vapes,Nebula Extracts,each,26.00
Wedding Cake #144,BULK-00144,Concentrates,Sungrown Farms,g,33.00
GDP #145,BULK-00145,Flower,Kush Co,each,40.00
Pineapple Express #146,BULK-00146,Pre-Rolls,Cloud9 Labs,g,47.00
Northern Lights #147,BULK-00147,Edibles,Nebula Extracts,each,54.00
Runtz #148,BULK-00148,Vapes,Sungrown Farms,g,61.00
Zkittlez #149,BULK-00149,Concentrates,Kush Co,each,68.00
Blue Dream #150,BULK-00150,Flower,Cloud9 Labs,g,20.00
OG Kush #151,BULK-00151,Pre-Rolls,Nebula Extracts,each,27.00
Sour Diesel #152,BULK-00152,Edibles,Sungrown Farms,g,34.00
Gelato #153,BULK-00153,Vapes,Kush Co,each,41.00
Wedding Cake #154,BULK-00154,Concentrates,Cloud9 Labs,g,48.00
GDP #155,BULK-00155,Flower,Nebula Extracts,each,55.00
Pineapple Express #156,BULK-00156,Pre-Rolls,Sungrown Farms,g,62.00
Northern Lights #157,BULK-00157,Edibles,Kush Co,each,69.00
Runtz #158,BULK-00158,Vapes,Cloud9 Labs,g,21.00
Zkittlez #159,BULK-00159,Concentrates,Nebula Extracts,each,28.00
Blue Dream #160,BULK-00160,Flower,Sungrown Farms,g,35.00
OG Kush #161,BULK-00161,Pre-Rolls,Kush Co,each,42.00
Sour Diesel #162,BULK-00162,Edibles,Cloud9 Labs,g,49.00
Gelato #163,BULK-00163,Vapes,Nebula Extracts,each,56.00
Wedding Cake #164,BULK-00164,Concentrates,Sungrown Farms,g,63.00
GDP #165,BULK-00165,Flower,Kush Co,each,15.00
Pineapple Express #166,BULK-00166,Pre-Rolls,Cloud9 Labs,g,22.00
Northern Lights #167,BULK-00167,Edibles,Nebula Extracts,each,29.00
Runtz #168,BULK-00168,Vapes,Sungrown Farms,g,36.00
Zkittlez #169,BULK-00169,Concentrates,Kush Co,each,43.00
Blue Dream #170,BULK-00170,Flower,Cloud9 Labs,g,50.00
OG Kush #171,BULK-00171,Pre-Rolls,Nebula Extracts,each,57.00
Sour Diesel #172,BULK-00172,Edibles,Sungrown Farms,g,64.00
Gelato #173,BULK-00173,Vapes,Kush Co,each,16.00
Wedding Cake #174,BULK-00174,Concentrates,Cloud9 Labs,g,23.00
GDP #175,BULK-00175,Flower,Nebula Extracts,each,30.00
Pineapple Express #176,BULK-00176,Pre-Rolls,Sungrown Farms,g,37.00
Northern Lights #177,BULK-00177,Edibles,Kush Co,each,44.00
Runtz #178,BULK-00178,Vapes,Cloud9 Labs,g,51.00
Zkittlez #179,BULK-00179,Concentrates,Nebula Extracts,each,58.00
Blue Dream #180,BULK-00180,Flower,Sungrown Farms,g,65.00
OG Kush #181,BULK-00181,Pre-Rolls,Kush Co,each,17.00
Sour Diesel #182,BULK-00182,Edibles,Cloud9 Labs,g,24.00
Gelato #183,BULK-00183,Vapes,Nebula Extracts,each,31.00
Wedding Cake #184,BULK-00184,Concentrates,Sungrown Farms,g,38.00
GDP #185,BULK-00185,Flower,Kush Co,each,45.00
Pineapple Express #186,BULK-00186,Pre-Rolls,Cloud9 Labs,g,52.00
Northern Lights #187,BULK-00187,Edibles,Nebula Extracts,each,59.00
Runtz #188,BULK-00188,Vapes,Sungrown Farms,g,66.00
Zkittlez #189,BULK-00189,Concentrates,Kush Co,each,18.00
Blue Dream #190,BULK-00190,Flower,Cloud9 Labs,g,25.00
OG Kush #191,BULK-00191,Pre-Rolls,Nebula Extracts,each,32.00
Sour Diesel #192,BULK-00192,Edibles,Sungrown Farms,g,39.00
Gelato #193,BULK-00193,Vapes,Kush Co,each,46.00
Wedding Cake #194,BULK-00194,Concentrates,Cloud9 Labs,g,53.00
GDP #195,BULK-00195,Flower,Nebula Extracts,each,60.00
Pineapple Express #196,BULK-00196,Pre-Rolls,Sungrown Farms,g,67.00
Northern Lights #197,BULK-00197,Edibles,Kush Co,each,19.00
Runtz #198,BULK-00198,Vapes,Cloud9 Labs,g,26.00
Zkittlez #199,BULK-00199,Concentrates,Nebula Extracts,each,33.00
Blue Dream #200,BULK-00200,Flower,Sungrown Farms,g,40.00
OG Kush #201,BULK-00201,Pre-Rolls,Kush Co,each,47.00
Sour Diesel #202,BULK-00202,Edibles,Cloud9 Labs,g,54.00
Gelato #203,BULK-00203,Vapes,Nebula Extracts,each,61.00
Wedding Cake #204,BULK-00204,Concentrates,Sungrown Farms,g,68.00
GDP #205,BULK-00205,Flower,Kush Co,each,20.00
Pineapple Express #206,BULK-00206,Pre-Rolls,Cloud9 Labs,g,27.00
Northern Lights #207,BULK-00207,Edibles,Nebula Extracts,each,34.00
Runtz #208,BULK-00208,Vapes,Sungrown Farms,g,41.00
Zkittlez #209,BULK-00209,Concentrates,Kush Co,each,48.00
Blue Dream #210,BULK-00210,Flower,Cloud9 Labs,g,55.00
OG Kush #211,BULK-00211,Pre-Rolls,Nebula Extracts,each,62.00
Sour Diesel #212,BULK-00212,Edibles,Sungrown Farms,g,69.00
Gelato #213,BULK-00213,Vapes,Kush Co,each,21.00
Wedding Cake #214,BULK-00214,Concentrates,Cloud9 Labs,g,28.00
GDP #215,BULK-00215,Flower,Nebula Extracts,each,35.00
Pineapple Express #216,BULK-00216,Pre-Rolls,Sungrown Farms,g,42.00
Northern Lights #217,BULK-00217,Edibles,Kush Co,each,49.00
Runtz #218,BULK-00218,Vapes,Cloud9 Labs,g,56.00
Zkittlez #219,BULK-00219,Concentrates,Nebula Extracts,each,63.00
Blue Dream #220,BULK-00220,Flower,Sungrown Farms,g,15.00
OG Kush #221,BULK-00221,Pre-Rolls,Kush Co,each,22.00
Sour Diesel #222,BULK-00222,Edibles,Cloud9 Labs,g,29.00
Gelato #223,BULK-00223,Vapes,Nebula Extracts,each,36.00
Wedding Cake #224,BULK-00224,Concentrates,Sungrown Farms,g,43.00
GDP #225,BULK-00225,Flower,Kush Co,each,50.00
Pineapple Express #226,BULK-00226,Pre-Rolls,Cloud9 Labs,g,57.00
Northern Lights #227,BULK-00227,Edibles,Nebula Extracts,each,64.00
Runtz #228,BULK-00228,Vapes,Sungrown Farms,g,16.00
Zkittlez #229,BULK-00229,Concentrates,Kush Co,each,23.00
Blue Dream #230,BULK-00230,Flower,Cloud9 Labs,g,30.00
OG Kush #231,BULK-00231,Pre-Rolls,Nebula Extracts,each,37.00
Sour Diesel #232,BULK-00232,Edibles,Sungrown Farms,g,44.00
Gelato #233,BULK-00233,Vapes,Kush Co,each,51.00
Wedding Cake #234,BULK-00234,Concentrates,Cloud9 Labs,g,58.00
GDP #235,BULK-00235,Flower,Nebula Extracts,each,65.00
Pineapple Express #236,BULK-00236,Pre-Rolls,Sungrown Farms,g,17.00
Northern Lights #237,BULK-00237,Edibles,Kush Co,each,24.00
Runtz #238,BULK-00238,Vapes,Cloud9 Labs,g,31.00
Zkittlez #239,BULK-00239,Concentrates,Nebula Extracts,each,38.00
Blue Dream #240,BULK-00240,Flower,Sungrown Farms,g,45.00
OG Kush #241,BULK-00241,Pre-Rolls,Kush Co,each,52.00
Sour Diesel #242,BULK-00242,Edibles,Cloud9 Labs,g,59.00
Gelato #243,BULK-00243,Vapes,Nebula Extracts,each,66.00
Wedding Cake #244,BULK-00244,Concentrates,Sungrown Farms,g,18.00
GDP #245,BULK-00245,Flower,Kush Co,each,25.00
Pineapple Express #246,BULK-00246,Pre-Rolls,Cloud9 Labs,g,32.00
Northern Lights #247,BULK-00247,Edibles,Nebula Extracts,each,39.00
Runtz #248,BULK-00248,Vapes,Sungrown Farms,g,46.00
Zkittlez #249,BULK-00249,Concentrates,Kush Co,each,53.00
Blue Dream #250,BULK-00250,Flower,Cloud9 Labs,g,60.00
OG Kush #251,BULK-00251,Pre-Rolls,Nebula Extracts,each,67.00
Sour Diesel #252,BULK-00252,Edibles,Sungrown Farms,g,19.00
Gelato #253,BULK-00253,Vapes,Kush Co,each,26.00
Wedding Cake #254,BULK-00254,Concentrates,Cloud9 Labs,g,33.00
GDP #255,BULK-00255,Flower,Nebula Extracts,each,40.00
Pineapple Express #256,BULK-00256,Pre-Rolls,Sungrown Farms,g,47.00
Northern Lights #257,BULK-00257,Edibles,Kush Co,each,54.00
Runtz #258,BULK-00258,Vapes,Cloud9 Labs,g,61.00
Zkittlez #259,BULK-00259,Concentrates,Nebula Extracts,each,68.00
Blue Dream #260,BULK-00260,Flower,Sungrown Farms,g,20.00
OG Kush #261,BULK-00261,Pre-Rolls,Kush Co,each,27.00
Sour Diesel #262,BULK-00262,Edibles,Cloud9 Labs,g,34.00
Gelato #263,BULK-00263,Vapes,Nebula Extracts,each,41.00
Wedding Cake #264,BULK-00264,Concentrates,Sungrown Farms,g,48.00
GDP #265,BULK-00265,Flower,Kush Co,each,55.00
Pineapple Express #266,BULK-00266,Pre-Rolls,Cloud9 Labs,g,62.00
Northern Lights #267,BULK-00267,Edibles,Nebula Extracts,each,69.00
Runtz #268,BULK-00268,Vapes,Sungrown Farms,g,21.00
Zkittlez #269,BULK-00269,Concentrates,Kush Co,each,28.00
Blue Dream #270,BULK-00270,Flower,Cloud9 Labs,g,35.00
OG Kush #271,BULK-00271,Pre-Rolls,Nebula Extracts,each,42.00
Sour Diesel #272,BULK-00272,Edibles,Sungrown Farms,g,49.00
Gelato #273,BULK-00273,Vapes,Kush Co,each,56.00
Wedding Cake #274,BULK-00274,Concentrates,Cloud9 Labs,g,63.00
GDP #275,BULK-00275,Flower,Nebula Extracts,each,15.00
Pineapple Express #276,BULK-00276,Pre-Rolls,Sungrown Farms,g,22.00
Northern Lights #277,BULK-00277,Edibles,Kush Co,each,29.00
Runtz #278,BULK-00278,Vapes,Cloud9 Labs,g,36.00
Zkittlez #279,BULK-00279,Concentrates,Nebula Extracts,each,43.00
Blue Dream #280,BULK-00280,Flower,Sungrown Farms,g,50.00
OG Kush #281,BULK-00281,Pre-Rolls,Kush Co,each,57.00
Sour Diesel #282,BULK-00282,Edibles,Cloud9 Labs,g,64.00
Gelato #283,BULK-00283,Vapes,Nebula Extracts,each,16.00
Wedding Cake #284,BULK-00284,Concentrates,Sungrown Farms,g,23.00
GDP #285,BULK-00285,Flower,Kush Co,each,30.00
Pineapple Express #286,BULK-00286,Pre-Rolls,Cloud9 Labs,g,37.00
Northern Lights #287,BULK-00287,Edibles,Nebula Extracts,each,44.00
Runtz #288,BULK-00288,Vapes,Sungrown Farms,g,51.00
Zkittlez #289,BULK-00289,Concentrates,Kush Co,each,58.00
Blue Dream #290,BULK-00290,Flower,Cloud9 Labs,g,65.00
OG Kush #291,BULK-00291,Pre-Rolls,Nebula Extracts,each,17.00
Sour Diesel #292,BULK-00292,Edibles,Sungrown Farms,g,24.00
Gelato #293,BULK-00293,Vapes,Kush Co,each,31.00
Wedding Cake #294,BULK-00294,Concentrates,Cloud9 Labs,g,38.00
GDP #295,BULK-00295,Flower,Nebula Extracts,each,45.00
Pineapple Express #296,BULK-00296,Pre-Rolls,Sungrown Farms,g,52.00
Northern Lights #297,BULK-00297,Edibles,Kush Co,each,59.00
Runtz #298,BULK-00298,Vapes,Cloud9 Labs,g,66.00
Zkittlez #299,BULK-00299,Concentrates,Nebula Extracts,each,18.00
Blue Dream #300,BULK-00300,Flower,Sungrown Farms,g,25.00
OG Kush #301,BULK-00301,Pre-Rolls,Kush Co,each,32.00
Sour Diesel #302,BULK-00302,Edibles,Cloud9 Labs,g,39.00
Gelato #303,BULK-00303,Vapes,Nebula Extracts,each,46.00
Wedding Cake #304,BULK-00304,Concentrates,Sungrown Farms,g,53.00
GDP #305,BULK-00305,Flower,Kush Co,each,60.00
Pineapple Express #306,BULK-00306,Pre-Rolls,Cloud9 Labs,g,67.00
Northern Lights #307,BULK-00307,Edibles,Nebula Extracts,each,19.00
Runtz #308,BULK-00308,Vapes,Sungrown Farms,g,26.00
Zkittlez #309,BULK-00309,Concentrates,Kush Co,each,33.00
Blue Dream #310,BULK-00310,Flower,Cloud9 Labs,g,40.00
OG Kush #311,BULK-00311,Pre-Rolls,Nebula Extracts,each,47.00
Sour Diesel #312,BULK-00312,Edibles,Sungrown Farms,g,54.00
Gelato #313,BULK-00313,Vapes,Kush Co,each,61.00
Wedding Cake #314,BULK-00314,Concentrates,Cloud9 Labs,g,68.00
GDP #315,BULK-00315,Flower,Nebula Extracts,each,20.00
Pineapple Express #316,BULK-00316,Pre-Rolls,Sungrown Farms,g,27.00
Northern Lights #317,BULK-00317,Edibles,Kush Co,each,34.00
Runtz #318,BULK-00318,Vapes,Cloud9 Labs,g,41.00
Zkittlez #319,BULK-00319,Concentrates,Nebula Extracts,each,48.00
Blue Dream #320,BULK-00320,Flower,Sungrown Farms,g,55.00
OG Kush #321,BULK-00321,Pre-Rolls,Kush Co,each,62.00
Sour Diesel #322,BULK-00322,Edibles,Cloud9 Labs,g,69.00
Gelato #323,BULK-00323,Vapes,Nebula Extracts,each,21.00
Wedding Cake #324,BULK-00324,Concentrates,Sungrown Farms,g,28.00
GDP #325,BULK-00325,Flower,Kush Co,each,35.00
Pineapple Express #326,BULK-00326,Pre-Rolls,Cloud9 Labs,g,42.00
Northern Lights #327,BULK-00327,Edibles,Nebula Extracts,each,49.00
Runtz #328,BULK-00328,Vapes,Sungrown Farms,g,56.00
Zkittlez #329,BULK-00329,Concentrates,Kush Co,each,63.00
Blue Dream #330,BULK-00330,Flower,Cloud9 Labs,g,15.00
OG Kush #331,BULK-00331,Pre-Rolls,Nebula Extracts,each,22.00
Sour Diesel #332,BULK-00332,Edibles,Sungrown Farms,g,29.00
Gelato #333,BULK-00333,Vapes,Kush Co,each,36.00
Wedding Cake #334,BULK-00334,Concentrates,Cloud9 Labs,g,43.00
GDP #335,BULK-00335,Flower,Nebula Extracts,each,50.00
Pineapple Express #336,BULK-00336,Pre-Rolls,Sungrown Farms,g,57.00
Northern Lights #337,BULK-00337,Edibles,Kush Co,each,64.00
Runtz #338,BULK-00338,Vapes,Cloud9 Labs,g,16.00
Zkittlez #339,BULK-00339,Concentrates,Nebula Extracts,each,23.00
Blue Dream #340,BULK-00340,Flower,Sungrown Farms,g,30.00
OG Kush #341,BULK-00341,Pre-Rolls,Kush Co,each,37.00
Sour Diesel #342,BULK-00342,Edibles,Cloud9 Labs,g,44.00
Gelato #343,BULK-00343,Vapes,Nebula Extracts,each,51.00
Wedding Cake #344,BULK-00344,Concentrates,Sungrown Farms,g,58.00
GDP #345,BULK-00345,Flower,Kush Co,each,65.00
Pineapple Express #346,BULK-00346,Pre-Rolls,Cloud9 Labs,g,17.00
Northern Lights #347,BULK-00347,Edibles,Nebula Extracts,each,24.00
Runtz #348,BULK-00348,Vapes,Sungrown Farms,g,31.00
Zkittlez #349,BULK-00349,Concentrates,Kush Co,each,38.00
Blue Dream #350,BULK-00350,Flower,Cloud9 Labs,g,45.00
OG Kush #351,BULK-00351,Pre-Rolls,Nebula Extracts,each,52.00
Sour Diesel #352,BULK-00352,Edibles,Sungrown Farms,g,59.00
Gelato #353,BULK-00353,Vapes,Kush Co,each,66.00
Wedding Cake #354,BULK-00354,Concentrates,Cloud9 Labs,g,18.00
GDP #355,BULK-00355,Flower,Nebula Extracts,each,25.00
Pineapple Express #356,BULK-00356,Pre-Rolls,Sungrown Farms,g,32.00
Northern Lights #357,BULK-00357,Edibles,Kush Co,each,39.00
Runtz #358,BULK-00358,Vapes,Cloud9 Labs,g,46.00
Zkittlez #359,BULK-00359,Concentrates,Nebula Extracts,each,53.00
Blue Dream #360,BULK-00360,Flower,Sungrown Farms,g,60.00
OG Kush #361,BULK-00361,Pre-Rolls,Kush Co,each,67.00
Sour Diesel #362,BULK-00362,Edibles,Cloud9 Labs,g,19.00
Gelato #363,BULK-00363,Vapes,Nebula Extracts,each,26.00
Wedding Cake #364,BULK-00364,Concentrates,Sungrown Farms,g,33.00
GDP #365,BULK-00365,Flower,Kush Co,each,40.00
Pineapple Express #366,BULK-00366,Pre-Rolls,Cloud9 Labs,g,47.00
Northern Lights #367,BULK-00367,Edibles,Nebula Extracts,each,54.00
Runtz #368,BULK-00368,Vapes,Sungrown Farms,g,61.00
Zkittlez #369,BULK-00369,Concentrates,Kush Co,each,68.00
Blue Dream #370,BULK-00370,Flower,Cloud9 Labs,g,20.00
OG Kush #371,BULK-00371,Pre-Rolls,Nebula Extracts,each,27.00
Sour Diesel #372,BULK-00372,Edibles,Sungrown Farms,g,34.00
Gelato #373,BULK-00373,Vapes,Kush Co,each,41.00
Wedding Cake #374,BULK-00374,Concentrates,Cloud9 Labs,g,48.00
GDP #375,BULK-00375,Flower,Nebula Extracts,each,55.00
Pineapple Express #376,BULK-00376,Pre-Rolls,Sungrown Farms,g,62.00
Northern Lights #377,BULK-00377,Edibles,Kush Co,each,69.00
Runtz #378,BULK-00378,Vapes,Cloud9 Labs,g,21.00
Zkittlez #379,BULK-00379,Concentrates,Nebula Extracts,each,28.00
Blue Dream #380,BULK-00380,Flower,Sungrown Farms,g,35.00
OG Kush #381,BULK-00381,Pre-Rolls,Kush Co,each,42.00
Sour Diesel #382,BULK-00382,Edibles,Cloud9 Labs,g,49.00
Gelato #383,BULK-00383,Vapes,Nebula Extracts,each,56.00
Wedding Cake #384,BULK-00384,Concentrates,Sungrown Farms,g,63.00
GDP #385,BULK-00385,Flower,Kush Co,each,15.00
Pineapple Express #386,BULK-00386,Pre-Rolls,Cloud9 Labs,g,22.00
Northern Lights #387,BULK-00387,Edibles,Nebula Extracts,each,29.00
Runtz #388,BULK-00388,Vapes,Sungrown Farms,g,36.00
Zkittlez #389,BULK-00389,Concentrates,Kush Co,each,43.00
